symbol,entry_time,exit_time,entry_price,exit_price,quantity,notional_value,pnl_dollar,pnl_pct,holding_period_hours,entry_cost,exit_cost,total_cost
IOTXUSDT,2022-02-14T00:00:00.000000,2022-02-21T00:00:00.000000,0.0898,0.07594,5567928.730512249,500000.0,-77448.34075723837,-15.489668151447674,168.0,150.0,126.84855233853004,276.84855233853006
ATOMUSDT,2022-02-14T00:00:00.000000,2022-02-21T00:00:00.000000,25.801,26.906,19379.093833572344,500000.0,21107.47451649164,4.2214949032983276,168.0,150.0,156.42416960582923,306.4241696058292
SOLUSDT,2022-03-21T00:00:00.000000,2022-03-28T00:00:00.000000,88.85,108.96,11254.924029262804,1000000.0,225668.62127180642,22.56686212718064,168.0,300.0,367.90095666854245,667.9009566685424
BNBUSDT,2022-05-09T00:00:00.000000,2022-05-16T00:00:00.000000,343.0,293.53,2915.451895043732,1000000.0,-144784.1370262391,-14.47841370262391,168.0,300.0,256.73177842565593,556.7317784256559
AXSUSDT,2022-05-30T00:00:00.000000,2022-06-06T00:00:00.000000,20.4,20.26,49019.60784313726,1000000.0,-7460.6862745096305,-0.746068627450963,168.0,300.0,297.9411764705883,597.9411764705883
LINKUSDT,2022-08-15T00:00:00.000000,2022-08-22T00:00:00.000000,8.705,6.955,114876.50775416427,1000000.0,-201573.57840321655,-20.157357840321655,168.0,300.0,239.68983342906373,539.6898334290637
1000SHIBUSDT,2022-09-26T00:00:00.000000,2022-10-03T00:00:00.000000,0.011017,0.011148,90768811.83625306,1000000.0,11287.14713624399,1.128714713624399,168.0,300.0,303.5672143051647,603.5672143051647
ARUSDT,2022-11-07T00:00:00.000000,2022-11-14T00:00:00.000000,13.674,8.992,73131.49041977475,999999.9999999999,-342898.91765394155,-34.28989176539416,168.0,299.99999999999994,197.2795085563844,497.27950855638437
FILUSDT,2022-11-21T00:00:00.000000,2022-11-28T00:00:00.000000,4.188,4.198,238777.45940783192,1000000.0,1787.0582617003154,0.17870582617003153,168.0,300.0,300.7163323782235,600.7163323782236
SANDUSDT,2022-11-28T00:00:00.000000,2022-12-05T00:00:00.000000,0.5431,0.6182,1841281.5319462344,1000000.0,137638.75897624722,13.763875897624722,168.0,300.0,341.48407291474854,641.4840729147486
DOGEBUSD,2023-01-02T00:00:00.000000,2023-01-09T00:00:00.000000,0.07192,0.07532,13904338.153503893,1000000.0,46660.56729699656,4.666056729699656,168.0,300.0,314.1824249165739,614.1824249165738
JASMYUSDT,2023-01-09T00:00:00.000000,2023-01-16T00:00:00.000000,0.003954,0.005276,126454223.57106727,500000.0,166822.33181588267,33.36446636317654,168.0,150.0,200.15174506828527,350.15174506828527
LDOUSDT,2023-01-09T00:00:00.000000,2023-01-16T00:00:00.000000,1.9409,2.1922,257612.4478334793,500000.0,64418.586738111204,12.88371734762224,168.0,150.0,169.421402442166,319.421402442166
AVAXUSDT,2023-03-20T00:00:00.000000,2023-03-27T00:00:00.000000,17.442,16.441,57332.87467033597,1000000.0,-57972.990482742796,-5.79729904827428,168.0,300.0,282.78293773649807,582.7829377364981
ADAUSDT,2023-05-01T00:00:00.000000,2023-05-08T00:00:00.000000,0.3904,0.3688,1280737.7049180327,500000.0,-27955.635245901638,-5.5911270491803275,168.0,150.0,141.70081967213113,291.70081967213116
LDOUSDT,2023-01-09T00:00:00.000000,2023-05-08T00:00:00.000000,1.9409,1.6558,254867.97838719544,500000.0,-78266.20450606584,-15.65324090121317,2856.0,150.0,126.60311958405545,276.60311958405543
CFXUSDT,2023-05-08T00:00:00.000000,2023-05-15T00:00:00.000000,0.2507,0.2828,3988831.272437176,1000000.0,127403.07140007988,12.740307140007987,168.0,300.0,338.41244515357,638.4124451535699
FTMUSDT,2023-06-05T00:00:00.000000,2023-06-12T00:00:00.000000,0.2888,0.2441,1731301.9390581718,500000.0,-77665.97991689749,-15.533195983379496,168.0,150.0,126.78324099722991,276.7832409972299
