symbol,entry_time,exit_time,entry_price,exit_price,quantity,notional_value,pnl_dollar,pnl_pct,holding_period_hours,entry_cost,exit_cost,total_cost
SOLBUSD,2022-01-19T00:00:00.000000,2022-01-20T00:00:00.000000,137.69,137.12,7262.691553489723,1000000.0,-4738.492265233481,-0.47384922652334804,24.0,300.0,298.7580797443532,598.7580797443532
FTMUSDT,2022-01-24T00:00:00.000000,2022-01-25T00:00:00.000000,2.2006,2.3616,454421.52140325366,1000000.0,72539.91638644013,7.253991638644014,24.0,300.0,321.94855948377716,621.9485594837772
SANDUSDT,2022-02-13T00:00:00.000000,2022-02-14T00:00:00.000000,4.2518,3.9079,235194.5058563432,1000000.0,-81459.1255468272,-8.14591255468272,24.0,300.0,275.7349828308011,575.7349828308011
IOTXUSDT,2022-02-14T00:00:00.000000,2022-02-15T00:00:00.000000,0.0898,0.09238,5567928.730512249,500000.0,14060.94654788419,2.812189309576838,24.0,150.0,154.30957683741647,304.30957683741644
ATOMUSDT,2022-02-14T00:00:00.000000,2022-02-15T00:00:00.000000,25.801,28.31,19379.093833572344,500000.0,48307.55978450448,9.661511956900897,24.0,150.0,164.5866439285299,314.5866439285299
ETCUSDT,2022-02-16T00:00:00.000000,2022-02-17T00:00:00.000000,31.901,31.499,15673.48985925206,500000.0,-6598.852700542373,-1.3197705401084745,24.0,150.0,148.10977712297418,298.10977712297415
BCHUSDT,2022-02-16T00:00:00.000000,2022-02-17T00:00:00.000000,335.92,324.36,1488.4496308644914,499999.99999999994,-17501.315789473647,-3.50026315789473,24.0,149.99999999999997,144.8380566801619,294.8380566801619
IOTXUSDT,2022-02-14T00:00:00.000000,2022-02-18T00:00:00.000000,0.0898,0.0858,5567928.730512249,500000.0,441389.62678375415,88.27792535675083,96.0,150.0,282.54665203073546,432.54665203073546
MATICUSDT,2022-02-18T00:00:00.000000,2022-02-19T00:00:00.000000,1.6934,1.6088,590527.9319711822,1000000.0,-50543.67544584855,-5.054367544584855,24.0,300.0,285.0124010865714,585.0124010865713
ETCUSDT,2022-02-16T00:00:00.000000,2022-02-20T00:00:00.000000,31.901,28.154,15673.48985925206,500000.0,472398.5072563925,94.4797014512785,96.0,150.0,291.85210780926053,441.85210780926053
DYDXUSDT,2022-02-25T00:00:00.000000,2022-02-26T00:00:00.000000,5.574,5.476,179404.3774668102,1000000.0,-18176.354503049868,-1.8176354503049867,24.0,300.0,294.72551130247575,594.7255113024758
DYDXUSDT,2022-02-25T00:00:00.000000,2022-02-28T00:00:00.000000,5.574,5.152,179404.3774668102,1000000.0,-31441.00827689993,-3.1441008276899933,72.0,300.0,290.74492099322794,590.7449209932279
NEARUSDT,2022-03-02T00:00:00.000000,2022-03-03T00:00:00.000000,11.101,11.034,90081.97459688316,1000000.0,-6633.681650301782,-0.6633681650301781,24.0,300.0,298.1893523106026,598.1893523106025
