symbol,entry_time,exit_time,entry_price,exit_price,quantity,notional_value,pnl_dollar,pnl_pct,holding_period_hours,entry_cost,exit_cost,total_cost
KAVAUSDT,2022-01-14T00:00:00.000000,2022-01-15T00:00:00.000000,5.4692,5.2503,18284.209756454326,100000.0,-4061.212791633141,-4.0612127916331415,24.0,29.999999999999996,28.799275945293644,58.799275945293644
ONEUSDT,2022-01-14T00:00:00.000000,2022-01-15T00:00:00.000000,0.35594,0.33847,280946.2268921729,100000.00000000001,-4966.658144631113,-4.966658144631112,24.0,30.0,28.527560824858124,58.52756082485813
MATICUSDT,2022-01-14T00:00:00.000000,2022-01-16T00:00:00.000000,2.3336,2.3309,42852.24545766198,100000.0,-175.66635241685873,-0.17566635241685874,48.0,29.999999999999996,29.965289681179293,59.965289681179286
LUNAUSDT,2022-01-14T00:00:00.000000,2022-01-16T00:00:00.000000,81.441,87.044,1227.8827617539077,100000.0,6817.763165972913,6.817763165972914,48.0,29.999999999999996,32.06394813423214,62.063948134232135
SXPUSDT,2022-01-14T00:00:00.000000,2022-01-16T00:00:00.000000,1.7705,1.7381,56481.21999435188,100000.0,-1889.4425303586486,-1.8894425303586486,48.0,29.999999999999996,29.451002541654898,59.451002541654894
DYDXUSDT,2022-01-15T00:00:00.000000,2022-01-16T00:00:00.000000,7.851,7.616,12146.995864459035,95366.06453186789,-2910.907303658557,-3.0523512928289467,24.0,28.609819359560365,27.753456151115998,56.36327551067636
DOGEUSDT,2022-01-14T00:00:00.000000,2022-01-16T00:00:00.000000,0.18318,0.17659,545911.1256687411,100000.0,-3656.475051861563,-3.656475051861563,48.0,29.999999999999996,28.920733704552894,58.92073370455289
ATOMUSDT,2022-01-16T00:00:00.000000,2022-01-17T00:00:00.000000,43.636,39.101,2262.548018334337,98728.54532803714,-10316.814193764118,-10.449677101475865,24.0,29.61856359841114,26.54036701946727,56.15893061787841
ONEUSDT,2022-01-14T00:00:00.000000,2022-01-17T00:00:00.000000,0.35594,0.31648,280946.2268921729,100000.00000000001,-10908.380717254267,-10.908380717254266,72.0,30.0,26.74450913756499,56.74450913756499
NEARUSDT,2022-01-14T00:00:00.000000,2022-01-17T00:00:00.000000,20.1789,17.6773,4955.671518269083,100000.0,-12453.388737740912,-12.453388737740912,72.0,29.999999999999996,26.280867638969415,56.28086763896941
DOGEBUSD,2022-01-16T00:00:00.000000,2022-01-18T00:00:00.000000,0.17667,0.16501,558830.2786440094,98728.54532803713,-6573.2433878712745,-6.657895511405446,48.0,29.618563598411136,27.66377528371439,57.28233888212553
KAVAUSDT,2022-01-14T00:00:00.000000,2022-01-18T00:00:00.000000,5.4692,5.0238,17565.794026872543,100000.0,-11809.438078607385,-11.809438078607386,96.0,29.999999999999996,26.47411080966068,56.47411080966067
DYDXUSDT,2022-01-15T00:00:00.000000,2022-01-18T00:00:00.000000,7.851,6.997,11930.104782319653,95366.06453186789,-11944.773672285406,-12.525182548865581,72.0,28.609819359560365,25.04248294856718,53.652302308127545
LTCUSDT,2022-01-17T00:00:00.000000,2022-01-19T00:00:00.000000,151.09,136.2,584.6217208835443,88330.49580829471,-8755.404216213776,-9.912096763518445,48.0,26.499148742488412,23.887643515301615,50.38679225779003
ROSEUSDT,2022-01-14T00:00:00.000000,2022-01-19T00:00:00.000000,0.56556,0.45355,176815.8992856638,100000.0,-19859.207334323484,-19.859207334323482,120.0,29.999999999999996,24.058455336303844,54.05845533630384
FTMUSDT,2022-01-14T00:00:00.000000,2022-01-19T00:00:00.000000,2.9575,2.7671,33812.341504649194,99999.99999999999,-6495.938461538452,-6.495938461538453,120.0,29.999999999999993,28.068639053254433,58.06863905325443
DOGEBUSD,2022-01-16T00:00:00.000000,2022-01-20T00:00:00.000000,0.17667,0.15523,522333.5647262049,98728.54532803713,-17700.64919096249,-17.92860325466157,96.0,29.618563598411136,24.324551775734633,53.94311537414577
DOGEUSDT,2022-01-14T00:00:00.000000,2022-01-20T00:00:00.000000,0.18318,0.15522,516945.60665005393,100000.0,-19813.77502489789,-19.81377502489789,144.0,29.999999999999996,24.072089119266412,54.07208911926641
AAVEUSDT,2022-01-18T00:00:00.000000,2022-01-20T00:00:00.000000,232.29,198.27,378.515197465627,87925.29521929049,-12925.97906880686,-14.70109259976752,48.0,26.377588565787146,22.51446246045296,48.89205102624011
CELRUSDT,2022-01-14T00:00:00.000000,2022-01-20T00:00:00.000000,0.0851,0.0685,1175088.1316098708,100000.0,-19560.611045828424,-19.560611045828423,144.0,29.999999999999996,24.148061104582847,54.148061104582844
YFIUSDT,2022-01-20T00:00:00.000000,2022-01-21T00:00:00.000000,31374.0,25734.0,2.5235294684718426,79173.21354383559,-14275.940318446841,-18.031275578504495,24.0,23.751964063150677,19.482152202496316,43.23411626564699
LUNAUSDT,2022-01-14T00:00:00.000000,2022-01-21T00:00:00.000000,81.441,64.679,1090.2082482243086,100000.0,-29537.574786886013,-29.53757478688601,168.0,29.999999999999996,21.154073786070015,51.154073786070015
ETCUSDT,2022-01-18T00:00:00.000000,2022-01-21T00:00:00.000000,32.634,25.903,2694.2849549332136,87925.29521929049,-18182.546639177548,-20.679540050254346,72.0,26.377588565787146,20.937018956290505,47.31460752207765
THETAUSDT,2022-01-19T00:00:00.000000,2022-01-22T00:00:00.000000,4.334,2.756,19476.02770183542,84409.10405975471,-30774.5972244181,-36.458860175357636,72.0,25.32273121792641,16.102779703877523,41.425510921803934
CHRUSDT,2022-01-15T00:00:00.000000,2022-01-22T00:00:00.000000,0.8646,0.5636,110300.7917324403,95366.06453186789,-33247.79778869022,-34.86334258616702,168.0,28.609819359560365,18.649657866121004,47.259477225681366
XLMUSDT,2022-01-22T00:00:00.000000,2022-01-23T00:00:00.000000,0.19209,0.20063,301278.51491092,57872.589929238624,2537.4230878265093,4.3844989327919155,24.0,17.361776978771587,18.13365253397336,35.49542951274495
COTIUSDT,2022-01-20T00:00:00.000000,2022-01-23T00:00:00.000000,0.36917,0.26909,214462.7503422152,79173.21354383559,-21504.496952758927,-27.16132892705258,72.0,23.751964063150677,17.312934446876007,41.06489851002668
EOSUSDT,2022-01-21T00:00:00.000000,2022-01-23T00:00:00.000000,2.368,2.271,28869.30865920496,68362.52290499734,-2840.500356803898,-4.15505489864865,48.0,20.5087568714992,19.668659989516335,40.17741686101554
ADABUSD,2022-01-19T00:00:00.000000,2022-01-24T00:00:00.000000,1.336,1.0659,63180.46711059484,84409.10405975471,-17110.570115757546,-20.271000748502992,120.0,25.32273121792641,20.203217967954913,45.52594918588132
ADAUSDT,2022-01-16T00:00:00.000000,2022-01-24T00:00:00.000000,1.4105,1.0653,69995.42384121739,98728.54532803713,-24214.408711092085,-24.526248847926283,192.0,29.618563598411136,22.369837505414658,51.988401103825794
LUNAUSDT,2022-01-14T00:00:00.000000,2022-01-25T00:00:00.000000,81.441,62.824,878.3196348552909,100000.0,-44867.001125673254,-44.867001125673255,264.0,29.999999999999996,16.553865822044635,46.55386582204463
ETCUSDT,2022-01-18T00:00:00.000000,2022-01-25T00:00:00.000000,32.634,24.012,2694.2849549332136,87925.29521929049,-17287.398405932247,-19.661461883996555,168.0,26.377588565787146,21.205644013781342,47.58323257956849
XRPUSDT,2022-01-22T00:00:00.000000,2022-01-27T00:00:00.000000,0.5962,0.6084,97069.08743582462,57872.58992923864,1149.1640398995096,1.985679302247581,120.0,17.36177697877159,17.71704983878671,35.0788268175583
ATOMUSDT,2022-01-16T00:00:00.000000,2022-01-27T00:00:00.000000,43.636,30.044,2032.4796822877136,98728.54532803714,-37712.66346285589,-38.1983380161747,264.0,29.61856359841114,18.31914587239562,47.93770947080676
FTMUSDT,2022-01-14T00:00:00.000000,2022-01-27T00:00:00.000000,2.9575,2.0782,26425.363344366102,99999.99999999999,-45129.28505476903,-45.12928505476904,312.0,29.999999999999993,16.47515703067849,46.47515703067848
DYDXUSDT,2022-01-15T00:00:00.000000,2022-01-27T00:00:00.000000,7.851,5.711,10614.454155226651,95366.06453186789,-34793.71241503219,-36.48437479917753,288.0,28.609819359560365,18.18574430414982,46.79556366371018
DOGEBUSD,2022-01-16T00:00:00.000000,2022-01-27T00:00:00.000000,0.17667,0.14141,431780.594197449,98728.54532803713,-37718.38749432192,-38.2041357633683,264.0,29.618563598411136,18.317428147638378,47.93599174604951
DOGEUSDT,2022-01-14T00:00:00.000000,2022-01-28T00:00:00.000000,0.18318,0.14135,431902.46283820464,100000.0,-38998.90170175643,-38.99890170175643,336.0,29.999999999999996,18.314823936654065,48.314823936654065
DUSKUSDT,2022-01-27T00:00:00.000000,2022-01-28T00:00:00.000000,0.6525,0.62645,90908.30161985617,59317.66680695615,-2403.0414089042724,-4.05113946360154,24.0,17.795300042086843,17.084851664927665,34.880151707014505
BTCUSDT,2022-01-21T00:00:00.000000,2022-01-29T00:00:00.000000,36425.98,38150.01,1.8767517827934166,68362.52290499734,3193.588189433506,4.671548172485678,192.0,20.5087568714992,21.479429784326,41.9881866558252
BNBUSDT,2022-01-24T00:00:00.000000,2022-01-29T00:00:00.000000,370.93,389.04,191.1580669673907,70906.26178021423,3418.290273933496,4.820858113390685,120.0,21.271878534064268,22.310440311898105,43.58231884596238
BTCBUSD,2022-01-21T00:00:00.000000,2022-01-29T00:00:00.000000,36441.6,38162.0,1.8759473487716605,68362.52290499734,3185.394091138122,4.65956192922375,192.0,20.5087568714992,21.47697081714723,41.985727688646435
MATICUSDT,2022-01-14T00:00:00.000000,2022-01-30T00:00:00.000000,2.3336,1.6013,42779.25463767749,100000.0,-31548.130274822426,-31.548130274822427,384.0,29.999999999999996,20.550726135393887,50.55072613539389
